Color Type	Scale	Hex Value	Color Name
Primary	10	#061b2c	brand.primary.10
Primary	20	#162b3d	brand.primary.20
Primary	30	#273c50	brand.primary.30
Primary	40	#384f63	brand.primary.40
Primary	50	#4b6176	brand.primary.50
Primary	60	#5d758a	brand.primary.60
Primary	70	#71899f	brand.primary.70
Primary	80	#859eb4	brand.primary.80
Primary	90	#9ab3ca	brand.primary.90
Primary	100	#afc8e0	brand.primary.100
Secondary	10	#3b1d00	brand.secondary.10
Secondary	20	#572e00	brand.secondary.20
Secondary	30	#753f00	brand.secondary.30
Secondary	40	#945100	brand.secondary.40
Secondary	50	#b26612	brand.secondary.50
Secondary	60	#cc7e33	brand.secondary.60
Secondary	70	#e7964e	brand.secondary.70
Secondary	80	#ffb16e	brand.secondary.80
Secondary	90	#ffd5b4	brand.secondary.90
Secondary	100	#fff7f0	brand.secondary.100
Tertiary	10	#000a15	brand.tertiary.10
Tertiary	20	#031421	brand.tertiary.20
Tertiary	30	#0c1e2c	brand.tertiary.30
Tertiary	40	#162937	brand.tertiary.40
Tertiary	50	#213443	brand.tertiary.50
Tertiary	60	#2c404f	brand.tertiary.60
Tertiary	70	#384c5b	brand.tertiary.70
Tertiary	80	#445867	brand.tertiary.80
Tertiary	90	#506474	brand.tertiary.90
Tertiary	100	#5c7181	brand.tertiary.100
Neutral	10	#252623	brand.neutral.10
Neutral	20	#393a37	brand.neutral.20
Neutral	30	#4e4f4c	brand.neutral.30
Neutral	40	#646562	brand.neutral.40
Neutral	50	#7b7c78	brand.neutral.50
Neutral	60	#929490	brand.neutral.60
Neutral	70	#abaca8	brand.neutral.70
Neutral	80	#c4c5c1	brand.neutral.80
Neutral	90	#dddfdb	brand.neutral.90
Neutral	100	#f8f9f5	brand.neutral.100
